"j","i","CNTSCHID","CNTSTUID","CNT","CREATAS","GROSAGR","missing_CREATAS","missing_GROSAGR"
1,1,800001,800296,"Albania",-1.117,-0.3061,0,0
1,2,800001,800385,"Albania",1.4745,0.3387,0,0
1,3,800001,800431,"Albania",1.4592,-0.4299,0,0
1,4,800001,800505,"Albania",1.42016269709668,-0.3061,1,0
1,5,800001,800592,"Albania",1.9381137965007,0.3271,1,0
1,6,800001,800783,"Albania",-0.129909198059557,0.7798,1,0
1,7,800001,800902,"Albania",1.4571,-0.4201,0,0
1,8,800001,801080,"Albania",-1.117,-1.3155,0,0
1,9,800001,801101,"Albania",0.5009,-0.7393,0,0
1,10,800001,801271,"Albania",1.50157803479335,-0.2927,1,0
1,11,800001,801394,"Albania",-1.117,1.5392,0,0
1,12,800001,802088,"Albania",0.991456051655841,-0.3061,1,0
1,13,800001,802098,"Albania",1.72287039507479,-0.3061,1,0
1,14,800001,802361,"Albania",0.3472,-0.8184,0,0
1,15,800001,802831,"Albania",1.10928534523052,0.0944,1,0
1,16,800001,802889,"Albania",1.4612,-0.3061,0,0
1,17,800001,803162,"Albania",-1.117,-3.5994,0,0
1,18,800001,803197,"Albania",1.4745,-1.1501,0,0
1,19,800001,803364,"Albania",0.6165,-3.5994,0,0
1,20,800001,803477,"Albania",0.2916,-0.0033,0,0
1,21,800001,803535,"Albania",1.9386323808904,-0.5499,1,0
1,22,800001,803546,"Albania",1.9351,0.432,0,0
1,23,800001,803889,"Albania",0.6778,-3.5994,0,0
1,24,800001,803944,"Albania",1.1221,0.3271,0,0
1,25,800001,804038,"Albania",-0.279,-1.25544489448804,0,1
1,26,800001,804064,"Albania",1.4745,-0.3061,0,0
1,27,800001,804365,"Albania",0.4152,0.5052,0,0
1,28,800001,804817,"Albania",2.59616616845213,-0.3061,1,0
1,29,800001,805224,"Albania",-0.531059092208787,-0.0613,1,0
1,30,800001,805752,"Albania",0.3121,0.3133,0,0
1,31,800001,806268,"Albania",1.291,-0.3061,0,0
1,32,800001,806387,"Albania",1.4745,-0.145,0,0
1,33,800001,806469,"Albania",1.4557,-0.6403,0,0
1,34,800001,806595,"Albania",0.0701,-1.0164,0,0
1,35,800001,806618,"Albania",1.2225,0.3202,0,0
1,36,800001,806650,"Albania",0.2873,-0.145,0,0
1,37,800001,806811,"Albania",0.7012,-0.3061,0,0
1,38,800001,806822,"Albania",-0.6104078275632,-0.3061,1,0
1,39,800001,806839,"Albania",1.57891248600189,3.02483928946487,1,1
1,40,800001,807191,"Albania",-1.117,-1.1501,0,0
1,41,800001,807212,"Albania",4.2166,-3.5994,0,0
1,42,NA,NA,"Albania",-0.642192100550124,-0.168359833849932,1,1
1,43,NA,NA,"Albania",1.62172732142555,-0.180795085287285,1,1
1,44,NA,NA,"Albania",-1.59923576427615,-2.02970396665857,1,1
1,45,NA,NA,"Albania",0.809052673203556,1.39239516980485,1,1
2,1,800002,800175,"Albania",0.5316,-0.8948,0,0
2,2,800002,800254,"Albania",1.1896,0.0855,0,0
2,3,800002,800863,"Albania",2.4816451800909,-0.812637344307571,1,1
2,4,800002,800883,"Albania",2.0795,-0.3061,0,0
2,5,800002,801056,"Albania",0.994,-1.3155,0,0
2,6,800002,801109,"Albania",0.5531,-0.3061,0,0
2,7,800002,801159,"Albania",-0.198268096040959,0.0845894106521482,1,1
2,8,800002,801174,"Albania",0.1038,-1.1501,0,0
2,9,800002,802128,"Albania",1.1398,-0.3061,0,0
2,10,800002,802151,"Albania",1.085,-0.3061,0,0
2,11,800002,802206,"Albania",0.9144,0.6737,0,0
2,12,800002,802309,"Albania",0.686941646680222,2.0294,1,0
2,13,800002,802654,"Albania",0.413086844248046,-0.2927,1,0
2,14,800002,802694,"Albania",1.1,0.8823,0,0
2,15,800002,803451,"Albania",0.8271,-3.5994,0,0
2,16,800002,803454,"Albania",0.951337743176448,-0.8184,1,0
2,17,800002,803653,"Albania",1.43018663412789,-0.3061,1,0
2,18,800002,803688,"Albania",1.6629,-0.3061,0,0
2,19,800002,804076,"Albania",2.26860641948473,-0.7393,1,0
2,20,800002,804388,"Albania",0.288449106789893,-0.3061,1,0
2,21,800002,804660,"Albania",0.6008,-3.5994,0,0
2,22,800002,804678,"Albania",-0.0408,-0.0994,0,0
2,23,800002,804681,"Albania",1.81951639954472,-1.41248734111255,1,1
2,24,800002,804709,"Albania",0.7714,-1.1501,0,0
2,25,800002,804756,"Albania",4.2166,-0.3061,0,0
2,26,800002,804986,"Albania",0.982023276570815,0.0662872364725922,1,1
2,27,800002,805035,"Albania",0.210107458447687,0.6098,1,0
2,28,800002,805038,"Albania",0.6755,-1.1501,0,0
2,29,800002,805454,"Albania",1.1188,-3.5994,0,0
2,30,800002,805569,"Albania",0.494,-0.3061,0,0
2,31,800002,805980,"Albania",2.2691,-1.1501,0,0
2,32,800002,806484,"Albania",1.4745,-0.3061,0,0
2,33,800002,806603,"Albania",1.10858725859681,-0.3061,1,0
2,34,800002,806612,"Albania",0.315689581342254,-0.299164200685835,1,1
2,35,800002,807183,"Albania",1.95800383952304,-1.1501,1,0
2,36,800002,807315,"Albania",0.497412691379072,0.5765,1,0
2,37,NA,NA,"Albania",1.19893066807741,0.0974779017681747,1,1
2,38,NA,NA,"Albania",0.0854651610999206,-1.32523264079503,1,1
2,39,NA,NA,"Albania",1.26042510554966,2.27892144283412,1,1
2,40,NA,NA,"Albania",0.154911223492867,-0.694848287945605,1,1
2,41,NA,NA,"Albania",0.688316743150349,-0.30986371010647,1,1
2,42,NA,NA,"Albania",0.343975725471352,-1.21074544886745,1,1
2,43,NA,NA,"Albania",0.110622087918691,-1.9313112477501,1,1
2,44,NA,NA,"Albania",-1.21814789379935,-2.09786714876057,1,1
2,45,NA,NA,"Albania",2.76356441102639,0.57671842840464,1,1
3,1,800003,803942,"Albania",-2.7781759899094,0.0855,1,0
3,2,800003,807020,"Albania",0.963974268788591,-0.47353143962619,1,1
3,3,800003,807135,"Albania",0.9272,0.8077,0,0
3,4,NA,NA,"Albania",1.72852300034929,-1.50139779485595,1,1
3,5,NA,NA,"Albania",1.84644350071037,0.766705600415625,1,1
3,6,NA,NA,"Albania",1.83591664102055,-2.20038030716951,1,1
3,7,NA,NA,"Albania",1.61590184219297,0.722877809631184,1,1
3,8,NA,NA,"Albania",0.046601915294485,1.99205190984634,1,1
3,9,NA,NA,"Albania",0.949727273861662,-1.63684148065846,1,1
3,10,NA,NA,"Albania",-1.87914699814337,-1.13313065071342,1,1
3,11,NA,NA,"Albania",0.0287923631150115,-1.25131563059728,1,1
3,12,NA,NA,"Albania",-0.016166486499559,1.89230531129017,1,1
3,13,NA,NA,"Albania",0.509261753877731,0.37006300760878,1,1
3,14,NA,NA,"Albania",1.83580437142529,0.0976838272970848,1,1
3,15,NA,NA,"Albania",3.6096886660551,-0.41462824132098,1,1
3,16,NA,NA,"Albania",0.909590805913267,0.541782621633864,1,1
3,17,NA,NA,"Albania",1.26724386030375,-2.23755768195011,1,1
3,18,NA,NA,"Albania",3.34704415561109,0.153004793246314,1,1
3,19,NA,NA,"Albania",-0.801804060996989,0.3085672931391,1,1
3,20,NA,NA,"Albania",0.636146445633603,0.445248623142028,1,1
3,21,NA,NA,"Albania",2.18314680632366,0.119774493225858,1,1
3,22,NA,NA,"Albania",0.304648365255199,-3.03433294660741,1,1
3,23,NA,NA,"Albania",0.349623089363321,2.73860559884327,1,1
3,24,NA,NA,"Albania",2.7503220251511,0.371811820261481,1,1
3,25,NA,NA,"Albania",0.6020098419277,1.19585016016695,1,1
3,26,NA,NA,"Albania",1.15341127916143,-0.23756583685525,1,1
3,27,NA,NA,"Albania",-2.12349524155928,0.0635279647739153,1,1
3,28,NA,NA,"Albania",2.26046000621093,-2.424090066641,1,1
3,29,NA,NA,"Albania",-0.872740726442575,-1.99671972054694,1,1
3,30,NA,NA,"Albania",0.976289250002097,-1.15849663452413,1,1
3,31,NA,NA,"Albania",0.460458761177938,-2.60915657932622,1,1
3,32,NA,NA,"Albania",2.41702188191653,-0.876617099758292,1,1
3,33,NA,NA,"Albania",0.657653766879935,1.92380258713599,1,1
3,34,NA,NA,"Albania",-1.38705809266571,-2.93513602307037,1,1
3,35,NA,NA,"Albania",1.31255441148487,1.14074814100808,1,1
3,36,NA,NA,"Albania",0.963430709861453,-2.33618137061716,1,1
3,37,NA,NA,"Albania",2.43991227860908,-1.12863432524317,1,1
3,38,NA,NA,"Albania",1.42802655507309,-1.64261171813314,1,1
3,39,NA,NA,"Albania",0.565036877495023,0.762676295357781,1,1
3,40,NA,NA,"Albania",-0.673352908261804,0.296059929637638,1,1
3,41,NA,NA,"Albania",0.201027743228189,-1.45706006965059,1,1
3,42,NA,NA,"Albania",1.03545955212097,-1.0006909563615,1,1
3,43,NA,NA,"Albania",-3.70580536307882,-1.71087517698032,1,1
3,44,NA,NA,"Albania",0.795100862431814,-1.57587802186984,1,1
3,45,NA,NA,"Albania",2.05471757308731,-0.712032536488461,1,1
4,1,800004,800178,"Albania",3.62625098189764,-0.143859088364379,1,1
4,2,800004,801143,"Albania",1.35945268599688,-1.56480411286004,1,1
4,3,800004,801306,"Albania",4.65141001727966,-0.176176384376308,1,1
4,4,800004,801316,"Albania",3.21918918265386,-1.57825819505562,1,1
4,5,800004,801503,"Albania",1.4745,-0.826487169405225,0,1
4,6,800004,801979,"Albania",4.06267546383292,-0.248598680149581,1,1
4,7,800004,802017,"Albania",0.9063,-0.3061,0,0
4,8,800004,802029,"Albania",0.359,-3.5994,0,0
4,9,800004,802246,"Albania",1.21617941160465,0.0855,1,0
4,10,800004,802393,"Albania",3.20328206035348,-1.33570875231398,1,1
4,11,800004,802412,"Albania",0.152133035379395,0.644429585035737,1,1
4,12,800004,803042,"Albania",1.523,0.8823,0,0
4,13,800004,803356,"Albania",2.24548771672649,-1.18028791416864,1,1
4,14,800004,803438,"Albania",0.751091050504378,1.00478243027094,1,1
4,15,800004,803732,"Albania",0.965513333554715,-0.117716396233113,1,1
4,16,800004,804007,"Albania",2.47636668799063,0.1764,1,0
4,17,800004,804433,"Albania",3.50779638992658,0.0152524178738199,1,1
4,18,800004,804438,"Albania",1.34662286912673,-1.1942336516543,1,1
4,19,800004,804691,"Albania",1.0533,0.2429,0,0
4,20,800004,804746,"Albania",0.560389129208866,-2.70911134512124,1,1
4,21,800004,804857,"Albania",2.18463242680819,-0.438221545364426,1,1
4,22,800004,804898,"Albania",-1.99627223199224,-1.06773689855554,1,1
4,23,800004,804923,"Albania",1.1641850098546,-0.729893409947014,1,1
4,24,800004,805151,"Albania",0.757137799660049,-0.586703591557296,1,1
4,25,800004,805212,"Albania",2.57942409569084,-0.145,1,0
4,26,800004,805442,"Albania",2.74496279922601,0.0399407799003652,1,1
4,27,800004,805559,"Albania",0.0254280900603272,-0.916141599848885,1,1
4,28,800004,805598,"Albania",0.5766,0.2709,0,0
4,29,800004,805854,"Albania",1.1435718041709,-0.084788531206133,1,1
4,30,800004,806500,"Albania",4.2166,-0.3061,0,0
4,31,800004,806654,"Albania",4.89153273929185,0.676830577329274,1,1
4,32,800004,806675,"Albania",-1.06586751431548,0.948941782346751,1,1
4,33,800004,806713,"Albania",1.3394,0.3271,0,0
4,34,800004,806742,"Albania",0.845220931414246,-2.00446037868522,1,1
4,35,800004,806830,"Albania",3.4376040988837,0.491914921411893,1,1
4,36,800004,807271,"Albania",2.95103016588792,0.3271,1,0
4,37,800004,807322,"Albania",0.332837266184954,1.13607470998151,1,1
4,38,800004,807479,"Albania",3.4774,-3.5994,0,0
4,39,800004,807492,"Albania",2.07585217675064,0.701826749537236,1,1
4,40,NA,NA,"Albania",-0.145134425346557,-0.67814220089697,1,1
4,41,NA,NA,"Albania",3.41307255771842,0.235911969291605,1,1
4,42,NA,NA,"Albania",3.89628776185522,-2.13416786723565,1,1
4,43,NA,NA,"Albania",-0.00865642778479092,-2.07552907224643,1,1
4,44,NA,NA,"Albania",4.45021899908428,0.298865858868865,1,1
4,45,NA,NA,"Albania",0.436133572458737,-1.92856599375119,1,1
5,1,800005,801229,"Albania",-1.117,-0.3061,0,0
5,2,800005,801655,"Albania",-0.0073,-0.8486,0,0
5,3,800005,805170,"Albania",1.3113,0.2429,0,0
5,4,800005,805959,"Albania",1.73891224636061,2.42981052298957,1,1
5,5,800005,806557,"Albania",1.32488702625642,-1.62211869812985,1,1
5,6,NA,NA,"Albania",2.70598856918568,0.0776272931856013,1,1
5,7,NA,NA,"Albania",0.175933260537358,1.45245171904005,1,1
5,8,NA,NA,"Albania",0.871658331542993,0.688694892889459,1,1
5,9,NA,NA,"Albania",0.190284889001208,-0.99143158767307,1,1
5,10,NA,NA,"Albania",1.09352770272496,0.70010383231729,1,1
5,11,NA,NA,"Albania",0.895280847501731,0.305357851765667,1,1
5,12,NA,NA,"Albania",-1.19097568607668,-1.17454129657864,1,1
5,13,NA,NA,"Albania",0.197564587191519,1.05397496425248,1,1
5,14,NA,NA,"Albania",-2.12424115178435,0.752075742672999,1,1
5,15,NA,NA,"Albania",0.387849679693409,0.714642894282341,1,1
5,16,NA,NA,"Albania",-2.38340310369891,0.350777959596199,1,1
5,17,NA,NA,"Albania",-0.225708006617098,1.55346638402938,1,1
5,18,NA,NA,"Albania",1.71497536136708,1.15204056100904,1,1
5,19,NA,NA,"Albania",-1.23094771416344,-1.17630811791659,1,1
5,20,NA,NA,"Albania",1.2886001885269,-0.546441890737621,1,1
5,21,NA,NA,"Albania",1.95876652773895,0.568219356659914,1,1
5,22,NA,NA,"Albania",0.215765496145815,1.83882162367299,1,1
5,23,NA,NA,"Albania",0.0681349394196006,1.86523243488349,1,1
5,24,NA,NA,"Albania",1.89331156977881,0.0958657658372836,1,1
5,25,NA,NA,"Albania",0.843121469103591,0.446344603115608,1,1
5,26,NA,NA,"Albania",2.63785128859627,0.669700878339947,1,1
5,27,NA,NA,"Albania",-0.275232117730987,0.810852660422343,1,1
5,28,NA,NA,"Albania",-0.0749003817605322,1.58815847682399,1,1
5,29,NA,NA,"Albania",-2.53424983862718,0.563859933626116,1,1
5,30,NA,NA,"Albania",0.722455626420303,1.86181496386382,1,1
5,31,NA,NA,"Albania",1.26347423641481,-0.761390552538453,1,1
5,32,NA,NA,"Albania",0.292231530038348,0.0552746090457858,1,1
5,33,NA,NA,"Albania",0.669504646688269,0.487301061579966,1,1
5,34,NA,NA,"Albania",0.211194873044449,0.510076416890536,1,1
5,35,NA,NA,"Albania",0.646382047463257,1.02665689773888,1,1
5,36,NA,NA,"Albania",1.9429588864122,2.86268733309849,1,1
5,37,NA,NA,"Albania",1.12207533120865,-0.72362951528961,1,1
5,38,NA,NA,"Albania",1.65335769436941,-1.29745526289391,1,1
5,39,NA,NA,"Albania",-0.391215218170072,-1.28137029473443,1,1
5,40,NA,NA,"Albania",0.38248193105922,1.39220082239786,1,1
5,41,NA,NA,"Albania",-0.872954615416862,-0.344986812358318,1,1
5,42,NA,NA,"Albania",0.358882910251456,1.20110396799493,1,1
5,43,NA,NA,"Albania",0.932961694208487,-0.318971660775828,1,1
5,44,NA,NA,"Albania",0.948326769551315,-0.330711493192054,1,1
5,45,NA,NA,"Albania",0.447848569499496,0.452689450053668,1,1
6,1,800006,801140,"Albania",1.39972831335737,-1.17084658178652,1,1
6,2,800006,801177,"Albania",3.62082406628194,-0.723655819361722,1,1
6,3,800006,801520,"Albania",0.2675,-1.3155,0,0
6,4,800006,801702,"Albania",1.57978611612694,-5.64357732868225,1,1
6,5,800006,801715,"Albania",1.14252078552087,-1.41502436524019,1,1
6,6,800006,801798,"Albania",2.66338883372376,-1.63974982375484,1,1
6,7,800006,801836,"Albania",1.43659744242262,0.407830077857646,1,1
6,8,800006,802077,"Albania",0.369778355948821,1.73062731449053,1,1
6,9,800006,802087,"Albania",-0.0553759717785982,0.494711745110999,1,1
6,10,800006,802282,"Albania",3.29247798769334,0.166858778188999,1,1
6,11,800006,802298,"Albania",0.138074477684093,2.47080769337304,1,1
6,12,800006,802610,"Albania",1.75538836373024,-1.29469110557722,1,1
6,13,800006,802876,"Albania",1.15644315474891,0.57783737504477,1,1
6,14,800006,803136,"Albania",1.6717931200268,-0.147509806908503,1,1
6,15,800006,803223,"Albania",1.92472463341781,-2.15754316590512,1,1
6,16,800006,803280,"Albania",1.23843070575617,-1.87062936913381,1,1
6,17,800006,803394,"Albania",2.33424552202363,0.233612042481222,1,1
6,18,800006,803533,"Albania",3.40079556254524,0.281361789162355,1,1
6,19,800006,803585,"Albania",-0.377624561356889,-0.525961702773847,1,1
6,20,800006,803844,"Albania",2.03191591565387,-1.53127319219711,1,1
6,21,800006,803919,"Albania",0.3921,-0.4201,0,0
6,22,800006,804595,"Albania",2.09826271931302,-1.51941320318048,1,1
6,23,800006,804632,"Albania",2.35986864649216,0.0707682337534912,1,1
6,24,800006,804694,"Albania",0.916754690753102,-3.72294429404515,1,1
6,25,800006,804773,"Albania",2.51520922649848,-0.703635989028998,1,1
6,26,800006,805214,"Albania",1.60180136402435,0.386980482504528,1,1
6,27,800006,805908,"Albania",2.07815841808851,2.09388233992703,1,1
6,28,800006,806123,"Albania",-0.189094228808533,-3.14631662581575,1,1
6,29,800006,806794,"Albania",0.417469125562191,-0.316666295306332,1,1
6,30,800006,806888,"Albania",0.16433434440568,-1.48234938965941,1,1
6,31,800006,806904,"Albania",2.37795426299808,-1.97379661428993,1,1
6,32,800006,807068,"Albania",0.452599808551754,2.53699326136257,1,1
6,33,800006,807136,"Albania",2.66059190211559,0.488645724578028,1,1
6,34,800006,807140,"Albania",-0.305724272076478,0.967748734715448,1,1
